Timestamp,Do you think the quality of the  laundry services have gone down since the induction of the UG22 batch?,Where do you give your laundry?,What batch do you belong to?,Bernoulli
11-26-2019 14:28:00,No,SH1,UG20,0
11-26-2019 14:28:00,No,SH2,UG21,0
11-26-2019 14:28:33,No,SH2,UG21,0
11-26-2019 14:28:53,No,SH2,UG20,0
11-26-2019 14:29:20,No,SH2,UG20,0
11-26-2019 14:31:20,No,SH2,UG21,0
11-26-2019 14:31:41,No,SH1,UG21,0
11-26-2019 14:35:10,No,SH2,UG21,0
11-26-2019 14:35:31,No,SH2,UG20,0
11-26-2019 14:43:56,No,SH2,UG21,0
11-26-2019 14:48:53,No,SH2,UG21,0
11-26-2019 14:58:28,No,SH2,UG21,0
11-26-2019 15:04:19,No,SH1,UG21,0
11-26-2019 15:08:05,No,SH1,ASP20,0
11-26-2019 15:32:06,No,SH1,UG20,0
11-26-2019 15:34:54,No,SH1,UG20,0
11-26-2019 15:39:55,No,SH2,UG20,0
11-26-2019 16:24:16,No,SH1,ASP20,0
11-26-2019 16:42:08,No,SH1,UG20,0
11-26-2019 17:59:12,No,SH1,UG20,0
11-26-2019 18:26:06,No,SH2,UG20,0
11-26-2019 18:29:20,No,SH2,UG21,0
11-26-2019 21:40:44,No,SH2,UG21,0
11-27-2019 11:51:57,No,SH2,UG21,0
11-27-2019 13:41:36,No,SH1,UG21,0
11-27-2019 16:48:08,No,SH2,UG21,0
11-27-2019 17:38:10,No,SH1,UG21,0
11-27-2019 17:43:40,No,SH2,UG21,0
11-27-2019 17:47:28,No,SH2,UG21,0
11-27-2019 17:54:12,No,SH2,UG21,0
11-27-2019 18:12:41,No,SH1,ASP20,0
11-27-2019 20:05:53,No,SH1,UG21,0
11-27-2019 20:08:46,No,SH2,UG21,0
11-27-2019 20:29:12,No,SH1,UG20,0
11-27-2019 20:38:33,No,SH2,UG20,0
11-28-2019 10:10:51,No,SH2,UG21,0
11-28-2019 18:06:38,No,SH1,UG20,0
11-28-2019 18:59:11,No,SH1,UG20,0
11-29-2019 1:28:37,No,SH1,UG20,0
11-29-2019 21:23:32,No,SH1,ASP20,0
11-26-2019 10:36:45,Yes,SH1,UG21,1
11-26-2019 10:38:18,Yes,SH1,UG21,1
11-26-2019 14:26:58,Yes,SH1,UG21,1
11-26-2019 14:26:59,Yes,SH2,UG21,1
11-26-2019 14:27:32,Yes,SH1,UG21,1
11-26-2019 14:27:48,Yes,SH1,UG21,1
11-26-2019 14:27:48,Yes,SH2,UG21,1
11-26-2019 14:31:13,Yes,SH2,UG21,1
11-26-2019 14:31:24,Yes,SH1,UG21,1
11-26-2019 14:32:36,Yes,SH2,UG21,1
11-26-2019 14:33:27,Yes,SH2,UG21,1
11-26-2019 14:35:17,Yes,SH1,UG21,1
11-26-2019 14:48:46,Yes,SH1,UG20,1
11-26-2019 14:51:56,Yes,SH1,UG20,1
11-26-2019 14:52:26,Yes,SH2,ASP20,1
11-26-2019 14:58:46,Yes,SH2,UG20,1
11-26-2019 15:03:07,Yes,SH2,UG20,1
11-26-2019 15:03:08,Yes,SH2,ASP20,1
11-26-2019 15:17:15,Yes,SH2,UG21,1
11-26-2019 15:34:11,Yes,SH2,UG21,1
11-26-2019 15:40:30,Yes,SH1,UG21,1
11-26-2019 15:46:42,Yes,SH1,UG21,1
11-26-2019 16:03:06,Yes,SH2,UG21,1
11-26-2019 16:51:35,Yes,SH1,UG21,1
11-26-2019 17:19:01,Yes,SH1,UG21,1
11-26-2019 17:33:59,Yes,SH2,UG20,1
11-26-2019 17:39:47,Yes,SH2,UG21,1
11-26-2019 17:47:28,Yes,SH1,UG21,1
11-26-2019 18:03:29,Yes,SH2,ASP20,1
11-26-2019 18:54:51,Yes,SH1,UG21,1
11-26-2019 19:12:49,Yes,SH2,UG21,1
11-26-2019 19:21:21,Yes,SH2,UG20,1
11-26-2019 20:53:45,Yes,SH2,ASP20,1
11-26-2019 21:17:09,Yes,SH2,UG21,1
11-26-2019 22:28:48,Yes,SH1,UG21,1
11-27-2019 1:43:08,Yes,SH2,UG21,1
11-27-2019 2:11:52,Yes,SH1,UG21,1
11-27-2019 10:19:07,Yes,SH2,UG20,1
11-27-2019 10:57:31,Yes,SH2,UG21,1
11-27-2019 13:13:12,Yes,SH2,UG21,1
11-27-2019 14:48:55,Yes,SH1,UG21,1
11-27-2019 16:42:15,Yes,SH2,UG21,1
11-27-2019 16:44:07,Yes,SH2,UG21,1
11-27-2019 16:49:13,Yes,SH2,UG21,1
11-27-2019 17:13:17,Yes,SH1,ASP20,1
11-27-2019 17:40:20,Yes,SH1,UG21,1
11-27-2019 17:41:56,Yes,SH1,UG21,1
11-27-2019 17:49:34,Yes,SH1,UG21,1
11-27-2019 17:57:00,Yes,SH1,UG21,1
11-27-2019 17:58:54,Yes,SH2,UG21,1
11-27-2019 17:59:18,Yes,SH1,UG21,1
11-27-2019 18:21:10,Yes,SH1,UG21,1
11-27-2019 18:22:57,Yes,SH2,UG21,1
11-27-2019 18:40:33,Yes,SH2,UG21,1
11-27-2019 20:05:40,Yes,SH2,UG21,1
11-27-2019 21:24:21,Yes,SH2,ASP20,1
11-27-2019 22:10:56,Yes,SH1,UG21,1
11-27-2019 23:48:11,Yes,SH1,UG20,1
11-28-2019 1:00:59,Yes,SH2,UG21,1
11-28-2019 16:36:41,Yes,SH2,UG20,1
11-28-2019 16:39:11,Yes,SH1,UG20,1
11-28-2019 16:41:33,Yes,SH2,UG20,1
